,Variable,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2021-2030,SS
0,GDP ($Y_t$),-0.1663555437294749,-0.14040130864201328,-0.2180557440735719,-0.223965437493716,-0.2118371036387337,-0.18775169222847615,-0.1616284332620032,-0.1238654553000326,-0.0976031167925766,-0.06947101126558895,-0.16172811182877903,-0.3861436403900663
1,Consumption ($C_t$),-0.07530014574026005,1.0468073877599,0.1300984585321862,-0.12645655966977326,-0.24384416526957875,-0.3241913926353711,-0.36705030151814,-0.4222798001494377,-0.43132048352556424,-0.43760687595110415,-0.12200363291030672,-0.717664735014799
2,Capital Stock ($K_t$),-0.37327243475129374,-0.4084925474391677,-0.6565610977830949,-0.7290161628267777,-0.7491742396401132,-0.7385355899691569,-0.7115760528193867,-0.6446601970556198,-0.5962767736242827,-0.5401084525474131,-0.6154194530702815,-1.506782309877295
3,Labor ($L_t$),-0.05476101390239471,0.004254047219519911,0.018863382919787355,0.04904795229888533,0.07870160569144971,0.11008825668661226,0.13575686178722646,0.157691138844144,0.1719475470247415,0.18486943842857023,0.08235508687320942,0.22254945370820825
4,Real interest rate ($r_t$),-3.0507761757173486,-2.9439798967895827,-2.639765982231852,-2.521710166211751,-2.4653728125367866,-2.451000664613611,-2.452789323594634,-2.5797369202330334,-2.6092873042494475,-2.65248127976666,-2.6393102851715646,-1.4021961224726274
5,Wage rate,-0.11164693965376336,-0.14464163203618735,-0.23686810732536198,-0.2728733566028417,-0.29030387462575263,-0.2975057080651355,-0.29697500874998467,-0.28110550831040493,-0.2690796124940556,-0.2538626841216225,-0.2458874921970315,-0.6073413078329104
